dataset,instance,num_nodes_base,team_size_base,runs_base,reference_best_score_base,best_score_base,mean_score_base,std_score_base,mean_cpu_time_seconds_base,median_cpu_time_seconds_base,mean_iterations_to_convergence_base,success_rate_percent_base,mean_gap_to_reference_best_percent_base,max_gap_to_reference_best_percent_base,num_nodes_improved,team_size_improved,runs_improved,reference_best_score_improved,best_score_improved,mean_score_improved,std_score_improved,mean_cpu_time_seconds_improved,median_cpu_time_seconds_improved,mean_iterations_to_convergence_improved,success_rate_percent_improved,mean_gap_to_reference_best_percent_improved,max_gap_to_reference_best_percent_improved,score_delta,cpu_delta,gap_delta
chao,p4.2.a.txt,100,2,2,194.0,194.0,194.0,0.0,0.0525155000000268,0.0525155000000268,1.5,100.0,0.0,0.0,100,2,2,194.0,194.0,194.0,0.0,0.0560109999996711,0.0560109999996711,1.5,100.0,0.0,0.0,0.0,0.003495499999644304,0.0
chao,p4.2.b.txt,100,2,2,321.0,321.0,321.0,0.0,0.0731772500002989,0.0731772500002989,13.0,100.0,0.0,0.0,100,2,2,318.0,318.0,317.5,0.7071067811865476,0.0767404500002157,0.0767404500002157,12.0,50.0,0.1572327044025157,0.3144654088050315,-3.5,0.003563199999916805,0.1572327044025157
chao,p4.2.c.txt,100,2,2,432.0,432.0,411.0,29.698484809834994,0.1094174499999098,0.1094174499999098,9.5,50.0,4.861111111111112,9.722222222222223,100,2,2,432.0,432.0,428.5,4.949747468305833,0.1045028999997157,0.1045028999997157,16.0,50.0,0.8101851851851851,1.6203703703703702,17.5,-0.004914550000194098,-4.0509259259259265
chao,p4.2.d.txt,100,2,2,518.0,518.0,506.0,16.97056274847714,0.1483808500006489,0.1483808500006489,16.5,50.0,2.3166023166023164,4.633204633204633,100,2,2,516.0,516.0,506.5,13.435028842544405,0.1373794999999518,0.1373794999999518,20.0,50.0,1.8410852713178296,3.6821705426356592,0.5,-0.011001350000697102,-0.4755170452844868
chao,p4.2.e.txt,100,2,2,606.0,606.0,601.0,7.071067811865476,0.1718442999995204,0.1718442999995204,8.0,50.0,0.825082508250825,1.65016501650165,100,2,2,598.0,598.0,586.5,16.263455967290593,0.1715755000004719,0.1715755000004719,8.0,50.0,1.9230769230769231,3.8461538461538463,-14.5,-0.00026879999904849683,1.0979944148260983
chao,p4.2.f.txt,100,2,2,654.0,654.0,651.5,3.5355339059327378,0.1893779000001814,0.1893779000001814,18.0,50.0,0.382262996941896,0.764525993883792,100,2,2,650.0,650.0,643.5,9.192388155425116,0.1590562000001227,0.1590562000001227,16.5,50.0,1.0,2.0,-8.0,-0.03032170000005871,0.617737003058104
chao,p4.2.g.txt,100,2,2,721.0,721.0,718.5,3.5355339059327378,0.22124574999998,0.22124574999998,11.5,50.0,0.3467406380027739,0.6934812760055479,100,2,2,713.0,713.0,707.0,8.48528137423857,0.1882562499995401,0.1882562499995401,12.5,50.0,0.8415147265077139,1.6830294530154275,-11.5,-0.0329895000004399,0.49477408850494
chao,p4.2.h.txt,100,2,2,771.0,771.0,764.5,9.192388155425116,0.2406296499998461,0.2406296499998461,11.0,50.0,0.8430609597924773,1.6861219195849546,100,2,2,767.0,767.0,760.0,9.899494936611664,0.2330714999998235,0.2330714999998235,12.0,50.0,0.9126466753585396,1.8252933507170797,-4.5,-0.0075581500000226065,0.0695857155660623
chao,p4.2.i.txt,100,2,2,840.0,840.0,820.0,28.284271247461906,0.2760921999993115,0.2760921999993115,9.5,50.0,2.380952380952381,4.761904761904762,100,2,2,840.0,840.0,823.5,23.33452377915607,0.2409501500005717,0.2409501500005717,9.0,50.0,1.9642857142857144,3.928571428571429,3.5,-0.035142049998739794,-0.4166666666666665
chao,p4.2.j.txt,100,2,2,896.0,896.0,889.0,9.899494936611664,0.2766406499999903,0.2766406499999903,10.5,50.0,0.78125,1.5625,100,2,2,895.0,895.0,893.0,2.8284271247461903,0.2747109500005535,0.2747109500005535,10.0,50.0,0.2234636871508379,0.4469273743016759,4.0,-0.0019296999994367625,-0.5577863128491621
chao,p4.2.k.txt,100,2,2,951.0,951.0,938.0,18.384776310850235,0.3186432500001501,0.3186432500001501,5.5,50.0,1.3669821240799158,2.733964248159832,100,2,2,962.0,962.0,940.5,30.405591591021544,0.2841676500001995,0.2841676500001995,11.0,50.0,2.234927234927235,4.46985446985447,2.5,-0.03447559999995059,0.8679451108473191
chao,p4.2.l.txt,100,2,2,1009.0,1009.0,1002.5,9.192388155425116,0.3028485000004366,0.3028485000004366,12.0,50.0,0.6442021803766105,1.288404360753221,100,2,2,1014.0,1014.0,993.5,28.991378028648448,0.2841327999994973,0.2841327999994973,14.5,50.0,2.021696252465483,4.043392504930966,-9.0,-0.018715700000939306,1.3774940720888726
chao,p4.2.m.txt,100,2,2,1083.0,1083.0,1078.0,7.071067811865476,0.3437263499995424,0.3437263499995424,17.5,50.0,0.4616805170821791,0.9233610341643584,100,2,2,1053.0,1053.0,1037.0,22.62741699796952,0.3159516499999881,0.3159516499999881,15.5,50.0,1.519468186134853,3.038936372269706,-41.0,-0.027774699999554286,1.0577876690526737
chao,p4.2.n.txt,100,2,2,1103.0,1103.0,1084.5,26.16295090390226,0.3836812499998814,0.3836812499998814,18.0,50.0,1.6772438803263827,3.354487760652765,100,2,2,1095.0,1095.0,1077.0,25.45584412271571,0.2914344499995422,0.2914344499995422,10.0,50.0,1.643835616438356,3.287671232876712,-7.5,-0.09224680000033919,-0.033408263888026646
chao,p4.2.o.txt,100,2,2,1149.0,1149.0,1142.0,9.899494936611664,0.5395697499998278,0.5395697499998278,15.5,50.0,0.6092254134029591,1.2184508268059182,100,2,2,1144.0,1144.0,1136.5,10.606601717798211,0.2834569999995437,0.2834569999995437,9.5,50.0,0.6555944055944056,1.3111888111888113,-5.5,-0.25611275000028405,0.04636899219144652
chao,p4.2.p.txt,100,2,2,1178.0,1178.0,1174.0,5.656854249492381,0.4493677000000389,0.4493677000000389,16.5,50.0,0.3395585738539898,0.6791171477079796,100,2,2,1163.0,1163.0,1159.5,4.949747468305833,0.3078315000002476,0.3078315000002476,17.0,50.0,0.3009458297506449,0.6018916595012898,-14.5,-0.14153619999979128,-0.03861274410334492
